name,month
student10,0
student102,0
student110,0
student111,0
student114,0
student118,0
student119,0
student124,0
student137,0
student139,0
student154,0
student169,0
student170,0
student202,0
student205,0
student206,0
student209,0
student21,0
student214,0
student226,0
student227,0
student248,0
student256,0
student277,0
student280,0
student300,0
student310,0
student32,0
student321,0
student331,0
student333,0
student349,0
student365,0
student367,0
student386,0
student395,0
student399,0
student405,0
student406,0
student430,0
student437,0
student439,0
student463,0
student465,0
student467,0
student471,0
student476,0
student477,0
student479,0
student485,0
student486,0
student498,0
student50,0
student500,0
student524,0
student527,0
student533,0
student54,0
student541,0
student567,0
student59,0
student602,0
student609,0
student614,0
student622,0
student633,0
student65,0
student667,0
student678,0
student68,0
student689,0
student705,0
student714,0
student73,0
student734,0
student739,0
student743,0
student754,0
student783,0
student792,0
student799,0
student8,0
student806,0
student832,0
student840,0
student842,0
student863,0
student869,0
student870,0
student875,0
student878,0
student879,0
student899,0
student903,0
student913,0
student924,0
student936,0
student96,0
student969,0
student970,0
student1,1
student100,1
student106,1
student109,1
student117,1
student121,1
student134,1
student148,1
student165,1
student166,1
student167,1
student173,1
student192,1
student201,1
student207,1
student224,1
student229,1
student235,1
student247,1
student251,1
student257,1
student261,1
student294,1
student312,1
student337,1
student389,1
student391,1
student394,1
student40,1
student414,1
student418,1
student425,1
student46,1
student462,1
student511,1
student531,1
student554,1
student558,1
student560,1
student564,1
student594,1
student601,1
student604,1
student606,1
student642,1
student652,1
student661,1
student662,1
student666,1
student682,1
student684,1
student686,1
student693,1
student695,1
student710,1
student721,1
student729,1
student732,1
student740,1
student75,1
student753,1
student769,1
student77,1
student784,1
student787,1
student790,1
student794,1
student801,1
student804,1
student809,1
student836,1
student850,1
student854,1
student855,1
student862,1
student876,1
student881,1
student889,1
student894,1
student901,1
student906,1
student923,1
student940,1
student946,1
student950,1
student953,1
student956,1
student959,1
student962,1
student972,1
student976,1
student994,1
student998,1
student120,2
student133,2
student138,2
student140,2
student157,2
student183,2
student199,2
student203,2
student216,2
student222,2
student237,2
student241,2
student250,2
student255,2
student258,2
student265,2
student270,2
student281,2
student282,2
student29,2
student295,2
student296,2
student30,2
student306,2
student308,2
student309,2
student329,2
student332,2
student347,2
student361,2
student362,2
student372,2
student378,2
student383,2
student397,2
student403,2
student410,2
student412,2
student428,2
student436,2
student440,2
student447,2
student459,2
student466,2
student470,2
student49,2
student496,2
student5,2
student502,2
student521,2
student53,2
student550,2
student573,2
student578,2
student583,2
student584,2
student598,2
student600,2
student613,2
student618,2
student627,2
student63,2
student636,2
student655,2
student66,2
student677,2
student687,2
student688,2
student696,2
student697,2
student715,2
student725,2
student727,2
student741,2
student745,2
student751,2
student756,2
student764,2
student774,2
student777,2
student780,2
student789,2
student795,2
student798,2
student807,2
student816,2
student823,2
student896,2
student897,2
student90,2
student922,2
student928,2
student93,2
student941,2
student957,2
student983,2
student108,3
student12,3
student122,3
student125,3
student130,3
student135,3
student187,3
student195,3
student210,3
student221,3
student245,3
student252,3
student26,3
student266,3
student267,3
student274,3
student276,3
student283,3
student302,3
student304,3
student31,3
student330,3
student339,3
student346,3
student35,3
student350,3
student354,3
student359,3
student373,3
student387,3
student404,3
student413,3
student417,3
student423,3
student43,3
student431,3
student444,3
student446,3
student456,3
student460,3
student472,3
student475,3
student478,3
student48,3
student490,3
student492,3
student495,3
student503,3
student513,3
student526,3
student529,3
student534,3
student56,3
student572,3
student581,3
student586,3
student588,3
student607,3
student608,3
student610,3
student617,3
student62,3
student620,3
student621,3
student635,3
student641,3
student648,3
student658,3
student665,3
student670,3
student700,3
student704,3
student720,3
student724,3
student728,3
student735,3
student742,3
student758,3
student767,3
student773,3
student775,3
student776,3
student793,3
student800,3
student803,3
student81,3
student812,3
student817,3
student820,3
student821,3
student831,3
student837,3
student856,3
student857,3
student868,3
student891,3
student893,3
student91,3
student92,3
student926,3
student931,3
student958,3
student960,3
student984,3
student112,4
student123,4
student13,4
student132,4
student142,4
student143,4
student151,4
student153,4
student155,4
student16,4
student160,4
student17,4
student175,4
student178,4
student189,4
student19,4
student204,4
student213,4
student217,4
student218,4
student225,4
student23,4
student232,4
student233,4
student260,4
student262,4
student278,4
student28,4
student3,4
student313,4
student316,4
student317,4
student322,4
student323,4
student334,4
student335,4
student336,4
student355,4
student358,4
student364,4
student368,4
student388,4
student396,4
student407,4
student429,4
student432,4
student45,4
student450,4
student474,4
student480,4
student506,4
student508,4
student515,4
student538,4
student553,4
student556,4
student568,4
student589,4
student590,4
student592,4
student599,4
student611,4
student612,4
student619,4
student623,4
student624,4
student625,4
student626,4
student631,4
student632,4
student637,4
student64,4
student657,4
student663,4
student671,4
student673,4
student675,4
student694,4
student712,4
student733,4
student749,4
student750,4
student763,4
student766,4
student770,4
student771,4
student785,4
student788,4
student797,4
student80,4
student808,4
student810,4
student815,4
student82,4
student825,4
student828,4
student838,4
student846,4
student852,4
student859,4
student864,4
student871,4
student887,4
student904,4
student910,4
student918,4
student919,4
student935,4
student937,4
student942,4
student945,4
student947,4
student951,4
student954,4
student967,4
student977,4
student986,4
student990,4
student993,4
student999,4
student105,5
student113,5
student145,5
student15,5
student150,5
student171,5
student180,5
student196,5
student198,5
student20,5
student211,5
student212,5
student22,5
student220,5
student231,5
student24,5
student246,5
student263,5
student273,5
student284,5
student285,5
student286,5
student305,5
student314,5
student315,5
student324,5
student327,5
student338,5
student353,5
student356,5
student370,5
student382,5
student390,5
student4,5
student400,5
student421,5
student427,5
student438,5
student448,5
student455,5
student461,5
student464,5
student47,5
student473,5
student481,5
student489,5
student491,5
student493,5
student497,5
student505,5
student535,5
student547,5
student557,5
student562,5
student57,5
student575,5
student576,5
student595,5
student596,5
student6,5
student615,5
student629,5
student630,5
student634,5
student638,5
student644,5
student646,5
student647,5
student649,5
student650,5
student656,5
student659,5
student668,5
student67,5
student672,5
student674,5
student69,5
student7,5
student70,5
student702,5
student719,5
student726,5
student744,5
student746,5
student748,5
student757,5
student761,5
student768,5
student814,5
student827,5
student835,5
student841,5
student849,5
student866,5
student87,5
student874,5
student877,5
student89,5
student908,5
student909,5
student921,5
student94,5
student943,5
student948,5
student949,5
student963,5
student981,5
student982,5
student987,5
student991,5
student103,6
student104,6
student107,6
student14,6
student146,6
student158,6
student161,6
student162,6
student164,6
student168,6
student172,6
student174,6
student184,6
student194,6
student2,6
student208,6
student219,6
student223,6
student228,6
student236,6
student243,6
student272,6
student288,6
student293,6
student298,6
student299,6
student311,6
student328,6
student340,6
student342,6
student343,6
student366,6
student380,6
student384,6
student419,6
student422,6
student424,6
student426,6
student433,6
student441,6
student453,6
student469,6
student483,6
student501,6
student51,6
student510,6
student525,6
student530,6
student546,6
student548,6
student555,6
student563,6
student574,6
student58,6
student580,6
student585,6
student591,6
student593,6
student60,6
student603,6
student639,6
student669,6
student683,6
student690,6
student692,6
student706,6
student707,6
student711,6
student717,6
student722,6
student736,6
student738,6
student755,6
student759,6
student796,6
student802,6
student83,6
student839,6
student844,6
student848,6
student851,6
student86,6
student867,6
student882,6
student883,6
student885,6
student895,6
student900,6
student902,6
student920,6
student944,6
student961,6
student978,6
student98,6
student980,6
student1000,7
student115,7
student116,7
student131,7
student136,7
student163,7
student176,7
student177,7
student18,7
student181,7
student182,7
student188,7
student190,7
student191,7
student193,7
student197,7
student215,7
student238,7
student239,7
student242,7
student244,7
student25,7
student253,7
student279,7
student290,7
student291,7
student297,7
student301,7
student307,7
student320,7
student325,7
student344,7
student345,7
student36,7
student363,7
student37,7
student374,7
student375,7
student376,7
student379,7
student393,7
student401,7
student402,7
student409,7
student41,7
student411,7
student415,7
student443,7
student449,7
student451,7
student494,7
student507,7
student509,7
student514,7
student517,7
student52,7
student542,7
student545,7
student55,7
student551,7
student559,7
student561,7
student566,7
student577,7
student597,7
student616,7
student628,7
student640,7
student651,7
student680,7
student685,7
student691,7
student698,7
student71,7
student747,7
student762,7
student772,7
student782,7
student79,7
student813,7
student819,7
student826,7
student833,7
student834,7
student85,7
student884,7
student890,7
student892,7
student911,7
student916,7
student938,7
student939,7
student955,7
student964,7
student971,7
student973,7
student974,7
student992,7
student996,7
student101,8
student128,8
student141,8
student147,8
student152,8
student200,8
student230,8
student234,8
student240,8
student249,8
student254,8
student264,8
student275,8
student287,8
student303,8
student319,8
student326,8
student33,8
student34,8
student360,8
student369,8
student371,8
student38,8
student381,8
student392,8
student398,8
student408,8
student416,8
student42,8
student420,8
student434,8
student454,8
student457,8
student458,8
student468,8
student482,8
student484,8
student488,8
student499,8
student512,8
student518,8
student519,8
student523,8
student528,8
student536,8
student539,8
student543,8
student549,8
student552,8
student569,8
student570,8
student587,8
student660,8
student664,8
student679,8
student681,8
student699,8
student708,8
student713,8
student723,8
student730,8
student731,8
student737,8
student74,8
student752,8
student76,8
student778,8
student779,8
student78,8
student786,8
student791,8
student818,8
student822,8
student829,8
student845,8
student847,8
student853,8
student858,8
student873,8
student880,8
student886,8
student914,8
student915,8
student917,8
student925,8
student927,8
student930,8
student932,8
student968,8
student97,8
student99,8
student995,8
student997,8
student11,9
student126,9
student127,9
student129,9
student144,9
student149,9
student156,9
student159,9
student179,9
student185,9
student186,9
student259,9
student268,9
student269,9
student27,9
student271,9
student289,9
student292,9
student318,9
student341,9
student348,9
student351,9
student352,9
student357,9
student377,9
student385,9
student39,9
student435,9
student44,9
student442,9
student445,9
student452,9
student487,9
student504,9
student516,9
student520,9
student522,9
student532,9
student537,9
student540,9
student544,9
student565,9
student571,9
student579,9
student582,9
student605,9
student61,9
student643,9
student645,9
student653,9
student654,9
student676,9
student701,9
student703,9
student709,9
student716,9
student718,9
student72,9
student760,9
student765,9
student781,9
student805,9
student811,9
student824,9
student830,9
student84,9
student843,9
student860,9
student861,9
student865,9
student872,9
student88,9
student888,9
student898,9
student9,9
student905,9
student907,9
student912,9
student929,9
student933,9
student934,9
student95,9
student952,9
student965,9
student966,9
student975,9
student979,9
student985,9
student988,9
student989,9
